RowNumber,id_user,Surname,Geography,Gender,Age,field,Salary,center of interest
1,15634602,Hargrave,France,Female,42,graphics,101348.88,Photo-editor
2,15647311,Hill,Spain,Female,41,sport,112542.58,arbitrator
3,15619304,Onio,France,Female,42,sport,113931.57,arbitrator
4,15701354,Boni,France,Female,39,graphics,93826.63,Apparel-graphic-designer
5,15737888,Mitchell,Spain,Female,43,space,79084.1,aerospace-engineer
6,15574012,Chu,Spain,Male,44,sport,149756.71,footballer
7,15592531,Bartlett,France,Male,50,space,10062.8,astronomer
8,15656148,Obinna,Germany,Female,29,sport,119346.88,arbitrator
9,15792365,He,France,Male,44,space,74940.5,aerospace-engineer
10,15592389,H?,France,Male,27,space,71725.73,plasma-physicist
11,15767821,Bearce,France,Male,31,space,80181.12,aerospace-engineer
12,15737173,Andrews,Spain,Male,24,space,76390.01,aerospace-engineer
13,15632264,Kay,France,Female,34,space,26260.98,astronomer
14,15691483,Chin,France,Female,25,business,190857.79,business-developer
15,15600882,Scott,Spain,Female,35,space,65951.65,plasma-physicist
16,c,Goforth,Germany,Male,45,space,64327.26,plasma-physicist
17,15737452,Romeo,Germany,Male,58,space,5097.67,astronomer
18,15788218,Henderson,Spain,Female,24,space,14406.41,astronomer
19,15661507,Muldrow,Spain,Male,45,politics,158684.81,lawyer
20,15568982,Hao,France,Female,24,space,54724.03,astronomer
21,15577657,McDonald,France,Male,41,politics,170886.17,diplomat
22,15597945,Dellucci,Spain,Female,32,sport,138555.46,coach
23,15699309,Gerasimov,Spain,Female,38,sport,118913.53,arbitrator
24,15725737,Mosman,France,Male,46,space,8487.75,astronomer
25,15625047,Yen,France,Female,38,business,187616.16,business-manger
26,15738191,Maclean,France,Male,25,sport,124508.29,arbitrator
27,15736816,Young,Germany,Male,36,politics,170041.95,diplomat
28,15700772,Nebechi,France,Male,44,space,38433.35,astronomer
29,15728693,McWilliams,Germany,Female,43,graphics,100187.43,Photo-editor
30,15656300,Lucciano,France,Male,29,space,53483.21,astronomer
31,15589475,Azikiwe,Spain,Female,39,sport,140469.38,footballer
32,15706552,Odinakachukwu,France,Male,36,politics,156731.91,lawyer
33,15750181,Sanderson,Germany,Male,41,space,81898.81,aerospace-engineer
34,15659428,Maggard,Spain,Female,42,space,34410.55,astronomer
35,15732963,Clements,Spain,Female,29,sport,142033.07,footballer
36,15794171,Lombardo,France,Female,45,space,27822.99,astronomer
37,15788448,Watson,Spain,Male,31,sport,114066.77,arbitrator
38,15729599,Lorenzo,Spain,Male,33,graphics,98453.45,Apparel-graphic-designer
39,15717426,Armstrong,France,Male,36,space,40812.9,astronomer
40,15585768,Cameron,Germany,Male,41,politics,178074.04,diplomat
41,15619360,Hsiao,Spain,Male,40,space,70154.22,plasma-physicist
42,15738148,Clarke,France,Female,51,business,181297.65,business-manger
43,15687946,Osborne,France,Female,61,graphics,94153.83,Apparel-graphic-designer
44,15755196,Lavine,France,Female,49,business,194365.76,business-developer
45,15684171,Bianchi,Spain,Female,61,politics,158338.39,lawyer
46,15754849,Tyler,Germany,Female,32,sport,126517.46,arbitrator
47,15602280,Martin,Germany,Female,27,sport,119708.21,arbitrator
48,15771573,Okagbue,Germany,Female,39,sport,117622.8,arbitrator
49,15766205,Yin,Germany,Male,38,graphics,90878.13,Apparel-graphic-designer
50,15771873,Buccho,Germany,Female,37,business,194099.12,business-developer
51,15616550,Chidiebele,Germany,Male,44,business,198059.16,business-man
52,15768193,Trevisani,Germany,Male,36,space,86424.57,aerospace-engineer
53,15683553,O'Brien,France,Female,33,sport,116978.19,arbitrator
54,15702298,Parkhill,Germany,Male,41,politics,164040.94,judge
55,15569590,Yoo,Germany,Male,42,space,40014.76,astronomer
56,15760861,Phillipps,France,Male,43,sport,113410.49,arbitrator
57,15630053,Tsao,France,Male,45,space,87107.57,aerospace-engineer
58,15647091,Endrizzi,Germany,Male,19,space,45613.75,astronomer
59,15623944,T'ien,Spain,Female,66,space,1643.11,astronomer
60,15804771,Velazquez,France,Male,51,space,46775.28,astronomer
